,station id,station name,station latitude,station longitude
788,459.0,W 20 St & 11 Ave,40.746745,-74.007756
789,325.0,E 19 St & 3 Ave,40.73624527,-73.98473765
796,3503.0,Madison Ave & E 120 St,40.80295,-73.942954
797,441.0,E 52 St & 2 Ave,40.756014,-73.967416
822,3134.0,3 Ave & E 62 St,40.76312584,-73.96526895
828,483.0,E 12 St & 3 Ave,40.73223272,-73.98889957
845,3390.0,E 109 St & 3 Ave,40.79329668,-73.9432083
848,3379.0,E 103 St & Lexington Ave,40.7903051,-73.94755757
868,3288.0,E 88 St & 1 Ave,40.778301,-73.9488134
884,480.0,W 53 St & 10 Ave,40.76669671,-73.99061728
887,295.0,Pike St & E Broadway,40.71406667,-73.99293911
890,3172.0,W 74 St & Columbus Ave,40.7785669,-73.97754961
893,350.0,Clinton St & Grand St,40.71559509,-73.9870295
899,3493.0,E 118 St & 3 Ave,40.799139,-73.9389152
903,476.0,E 31 St & 3 Ave,40.74394314,-73.97966069
921,3175.0,W 70 St & Amsterdam Ave,40.77748046,-73.98288594
923,3370.0,E 78 St & 2 Ave,40.7727966,-73.95577801
933,3427.0,Lafayette St & Jersey St,40.72430527250332,-73.99600982666016
945,484.0,W 44 St & 5 Ave,40.75500254,-73.98014437
948,3140.0,1 Ave & E 78 St,40.77140426,-73.9535166
958,3154.0,E 77 St & 3 Ave,40.77314236,-73.95856158
969,251.0,Mott St & Prince St,40.72317958,-73.99480012
971,376.0,John St & William St,40.70862144,-74.00722156
982,360.0,William St & Pine St,40.70717936,-74.00887308
984,3505.0,Lexington Ave & E 127 St,40.805726,-73.936322
993,276.0,Duane St & Greenwich St,40.71748752,-74.0104554
1002,3374.0,Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613
1006,3362.0,Madison Ave & E 82 St,40.7781314,-73.96069399
1018,3320.0,Central Park West & W 100 St,40.79406660818552,-73.96286845207214
1033,517.0,Pershing Square South,40.751581,-73.97791
1059,3169.0,Riverside Dr & W 82 St,40.78720869,-73.98128127
1068,3350.0,W 100 St & Broadway,40.7973721,-73.97041192
1073,355.0,Bayard St & Baxter St,40.71602118,-73.99974372
1074,3162.0,W 78 St & Broadway,40.78339981,-73.98093133
1103,268.0,Howard St & Centre St,40.71910537,-73.99973337
1117,309.0,Murray St & West St,40.7149787,-74.013012
1119,3463.0,E 16 St & Irving Pl,40.735367055605394,-73.98797392845154
1133,279.0,Peck Slip & Front St,40.707873,-74.00167
1159,335.0,Washington Pl & Broadway,40.72903917,-73.99404649
